2026-02-11T14:16:15: ▲ Next.js 16.1.6 (Turbopack)
2026-02-11T14:16:15: - Local:         http://localhost:3000
2026-02-11T14:16:15: - Network:       http://192.168.0.129:3000
2026-02-11T14:16:15: 
2026-02-11T14:16:15: ✓ Starting...
2026-02-11T14:16:15: ✅ Crash report instrumentation registered
2026-02-11T14:16:15: ✓ Ready in 939ms
2026-02-11T14:16:44:  GET / 200 in 1074ms (compile: 884ms, render: 190ms)
2026-02-11T14:16:45:  GET /api/claude-chat/skills 200 in 137ms (compile: 44ms, render: 92ms)
2026-02-11T14:16:45:  GET /api/claude-usage 200 in 729ms (compile: 84ms, render: 645ms)
2026-02-11T14:16:47:  GET /api/dev-server 200 in 2.5s (compile: 67ms, render: 2.4s)
2026-02-11T14:16:55:  GET /api/dev-server 200 in 705ms (compile: 9ms, render: 696ms)
2026-02-11T14:17:05:  GET /api/dev-server 200 in 731ms (compile: 16ms, render: 715ms)
2026-02-11T14:17:15:  GET /api/dev-server 200 in 700ms (compile: 12ms, render: 688ms)
2026-02-11T14:17:25:  GET /api/dev-server 200 in 693ms (compile: 7ms, render: 687ms)
2026-02-11T14:17:35:  GET /api/dev-server 200 in 713ms (compile: 19ms, render: 694ms)
2026-02-11T14:17:45:  GET /api/claude-usage 200 in 453ms (compile: 25ms, render: 428ms)
2026-02-11T14:17:46:  GET /api/dev-server 200 in 748ms (compile: 19ms, render: 728ms)
2026-02-11T14:17:55:  GET /api/dev-server 200 in 691ms (compile: 11ms, render: 680ms)
2026-02-11T14:18:06:  GET /api/dev-server 200 in 749ms (compile: 17ms, render: 732ms)
2026-02-11T14:18:15:  GET /api/dev-server 200 in 688ms (compile: 7ms, render: 680ms)
2026-02-11T14:18:28:  GET /api/dev-server 200 in 797ms (compile: 31ms, render: 766ms)
2026-02-11T14:18:35:  GET /api/dev-server 200 in 693ms (compile: 5ms, render: 687ms)
2026-02-11T14:18:45:  GET /api/claude-usage 200 in 423ms (compile: 14ms, render: 408ms)
2026-02-11T14:18:45:  GET /api/dev-server 200 in 732ms (compile: 7ms, render: 725ms)
2026-02-11T14:18:55:  GET /api/dev-server 200 in 674ms (compile: 8ms, render: 666ms)
2026-02-11T14:19:05:  GET /api/dev-server 200 in 684ms (compile: 7ms, render: 678ms)
2026-02-11T14:19:15:  GET /api/dev-server 200 in 682ms (compile: 8ms, render: 674ms)
2026-02-11T14:19:25:  GET /api/dev-server 200 in 667ms (compile: 7ms, render: 661ms)
2026-02-11T14:19:35:  GET /api/dev-server 200 in 685ms (compile: 7ms, render: 678ms)
2026-02-11T14:19:45:  GET /api/dev-server 200 in 713ms (compile: 7ms, render: 706ms)
2026-02-11T14:19:45:  GET /api/claude-usage 200 in 715ms (compile: 14ms, render: 701ms)
2026-02-11T14:19:55:  GET /api/dev-server 200 in 673ms (compile: 7ms, render: 666ms)
2026-02-11T14:20:05:  GET /api/dev-server 200 in 687ms (compile: 7ms, render: 679ms)
2026-02-11T14:20:15:  GET /api/dev-server 200 in 679ms (compile: 6ms, render: 672ms)
2026-02-11T14:20:25:  GET /api/dev-server 200 in 696ms (compile: 5ms, render: 692ms)
2026-02-11T14:20:27:  POST /api/dev-server 200 in 1111ms (compile: 4ms, render: 1108ms)
2026-02-11T14:20:29:  GET /api/dev-server 200 in 1954ms (compile: 3ms, render: 1951ms)
2026-02-11T14:20:36:  GET /api/dev-server 200 in 757ms (compile: 4ms, render: 753ms)
2026-02-11T14:20:45:  GET /api/claude-usage 200 in 490ms (compile: 8ms, render: 482ms)
2026-02-11T14:20:45:  GET /api/dev-server 200 in 737ms (compile: 4ms, render: 733ms)
2026-02-11T14:20:55:  GET /api/dev-server 200 in 724ms (compile: 6ms, render: 718ms)
2026-02-11T14:21:05:  GET /api/dev-server 200 in 731ms (compile: 7ms, render: 723ms)
2026-02-11T14:21:15:  GET /api/dev-server 200 in 752ms (compile: 4ms, render: 748ms)
2026-02-11T14:21:18:  GET /api/claude-chat/history?projectId=classpost 200 in 48ms (compile: 41ms, render: 7ms)
2026-02-11T14:21:18:  GET /api/claude-chat/history?projectId=classpost 200 in 4ms (compile: 3ms, render: 1415µs)
2026-02-11T14:21:18:  GET /api/claude-chat/skills?projectId=classpost 200 in 55ms (compile: 7ms, render: 48ms)
2026-02-11T14:21:18:  GET /api/claude-chat/skills?projectId=classpost 200 in 10ms (compile: 4ms, render: 6ms)
2026-02-11T14:21:26:  GET /api/dev-server 200 in 860ms (compile: 6ms, render: 854ms)
2026-02-11T14:21:35:  GET /api/dev-server 200 in 733ms (compile: 8ms, render: 726ms)
2026-02-11T14:21:45:  GET /api/claude-usage 200 in 581ms (compile: 15ms, render: 566ms)
2026-02-11T14:21:46:  GET /api/dev-server 200 in 763ms (compile: 9ms, render: 754ms)
2026-02-11T14:21:55:  GET /api/dev-server 200 in 714ms (compile: 5ms, render: 709ms)
2026-02-11T14:22:05:  GET /api/dev-server 200 in 731ms (compile: 7ms, render: 724ms)
2026-02-11T14:22:15:  GET /api/dev-server 200 in 723ms (compile: 8ms, render: 715ms)
2026-02-11T14:22:25:  GET /api/dev-server 200 in 718ms (compile: 8ms, render: 711ms)
2026-02-11T14:22:31:  POST /api/claude-chat/history 200 in 16ms (compile: 6ms, render: 10ms)
2026-02-11T14:22:35:  GET /api/dev-server 200 in 733ms (compile: 6ms, render: 727ms)
2026-02-11T14:22:46:  GET /api/claude-usage 200 in 818ms (compile: 340ms, render: 478ms)
2026-02-11T14:22:47:  GET /api/dev-server 200 in 1310ms (compile: 338ms, render: 972ms)
2026-02-11T14:22:55:  GET /api/dev-server 200 in 739ms (compile: 9ms, render: 730ms)
2026-02-11T14:23:05:  GET /api/dev-server 200 in 748ms (compile: 9ms, render: 739ms)
2026-02-11T14:23:15:  GET /api/dev-server 200 in 739ms (compile: 7ms, render: 732ms)
2026-02-11T14:23:25:  GET /api/dev-server 200 in 743ms (compile: 6ms, render: 738ms)
2026-02-11T14:23:35:  GET /api/dev-server 200 in 750ms (compile: 7ms, render: 743ms)
2026-02-11T14:23:45:  GET /api/claude-usage 200 in 587ms (compile: 15ms, render: 572ms)
2026-02-11T14:23:46:  GET /api/dev-server 200 in 801ms (compile: 8ms, render: 793ms)
2026-02-11T14:23:50:  POST /api/claude-chat 200 in 79s (compile: 76ms, render: 78s)
2026-02-11T14:23:50:  POST /api/claude-chat/history 200 in 44ms (compile: 12ms, render: 32ms)
2026-02-11T14:23:50:  POST /api/claude-chat/messages 200 in 29ms (compile: 26ms, render: 3ms)
2026-02-11T14:23:50:  POST /api/claude-chat/messages 200 in 44ms (compile: 34ms, render: 10ms)
2026-02-11T14:23:50:  POST /api/claude-chat/history 200 in 30ms (compile: 5ms, render: 25ms)
2026-02-11T14:23:50: ✓ Compiled in 43ms
2026-02-11T14:23:55:  GET /api/dev-server 200 in 745ms (compile: 15ms, render: 730ms)
2026-02-11T14:24:05:  GET /api/dev-server 200 in 745ms (compile: 12ms, render: 732ms)
2026-02-11T14:24:15:  GET /api/dev-server 200 in 713ms (compile: 7ms, render: 706ms)
2026-02-11T14:24:25:  GET /api/dev-server 200 in 733ms (compile: 9ms, render: 725ms)
2026-02-11T14:24:35:  GET /api/dev-server 200 in 736ms (compile: 11ms, render: 725ms)
2026-02-11T14:24:45:  GET /api/claude-usage 200 in 397ms (compile: 11ms, render: 385ms)
2026-02-11T14:24:46:  GET /api/dev-server 200 in 778ms (compile: 7ms, render: 771ms)
2026-02-11T14:24:55:  GET /api/dev-server 200 in 723ms (compile: 8ms, render: 715ms)
2026-02-11T14:25:06:  GET /api/dev-server 200 in 766ms (compile: 5ms, render: 761ms)
2026-02-11T14:25:15:  GET /api/dev-server 200 in 735ms (compile: 9ms, render: 726ms)
2026-02-11T14:25:16:  POST /api/claude-chat 200 in 40.0s (compile: 7ms, render: 40.0s)
2026-02-11T14:25:16:  POST /api/claude-chat/messages 200 in 28ms (compile: 11ms, render: 17ms)
